id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1396896810170568707,1396896810170568707,2021-05-24 18:32:07 UTC,2021-05-24,18:32:07,+0000,79517679,willian_novaes,Willian Novaes,,Cartola fc 2021 vai começar e você não sabe em qual liga participar? Entre em A Liga do Willian e participe.   #cartola #cartolafc #brasileirao #futebol #corinthians #palmeiras #santos #saopaulo #flamengo  https://t.co/hPQmH1xHkG,pt,[],[],['https://pbs.twimg.com/media/E2LGPvjXoAoFaFb.jpg'],0,1,0,"['cartola', 'cartolafc', 'brasileirao', 'futebol', 'corinthians', 'palmeiras', 'santos', 'saopaulo', 'flamengo']",[],https://twitter.com/willian_novaes/status/1396896810170568707,False,,1,https://pbs.twimg.com/media/E2LGPvjXoAoFaFb.jpg,,,,,,,[],,,,
1396896176880951300,1396896176880951300,2021-05-24 18:29:36 UTC,2021-05-24,18:29:36,+0000,34090165,paparazzorn,Paparazzo Rubro-Negro,,"O #Flamengo acertou o retorno para o SUB15 de David, artilheiro dos fez “172 gols”. David (na foto com Vitor Zanelli) tinha saído do #CRF em 2020, para jogar no #Corinthians, mas acabou retornando. Em 2019, o o garoto marcou 172 gols, sendo parte no futsal e outra no campo.  https://t.co/2tvR8aHgnT",pt,[],[],['https://pbs.twimg.com/media/E2LFqtBWYAEVjTS.jpg'],6,3,223,"['flamengo', 'crf', 'corinthians']",[],https://twitter.com/PaparazzoRN/status/1396896176880951300,False,,1,https://pbs.twimg.com/media/E2LFqtBWYAEVjTS.jpg,,,,,,,[],,,,
1396892378028552192,1396892378028552192,2021-05-24 18:14:30 UTC,2021-05-24,18:14:30,+0000,4062948204,gofaithstrong,Kimberly_Faith,,All the wisdom in the world is NOTHING—without love. ~KFaith (1 Corinthians 13:2) #holybible #corinthians #love #wisdom god  https://t.co/iIrJhVCgz8,en,[],[],['https://pbs.twimg.com/media/E2LCNI2XsAkU5J1.png'],0,0,1,"['holybible', 'corinthians', 'love', 'wisdom']",[],https://twitter.com/GoFaithstrong/status/1396892378028552192,False,,1,https://pbs.twimg.com/media/E2LCNI2XsAkU5J1.png,,,,,,,[],,,,
1396888563439046661,1396888563439046661,2021-05-24 17:59:21 UTC,2021-05-24,17:59:21,+0000,51565827,rafaelporcari,Rafael Porcari,,"#EXPERIÊNCIA E #FUTEBOL - #Sylvinho é o novo #treinador do #Corinthians. Mas um novato ao invés de um ""cascudo"" é o ideal para o momento? Em:  https://t.co/T30sXnZ1pO",pt,[],['https://professorrafaelporcari.com/2021/05/24/sylvinho-no-corinthians-mas-e-o-treinador-cascudo/'],[],0,0,0,"['experiência', 'futebol', 'sylvinho', 'treinador', 'corinthians']",[],https://twitter.com/rafaelporcari/status/1396888563439046661,False,,0,,,,,,,,[],,,,
1396886103974678539,1396886103974678539,2021-05-24 17:49:34 UTC,2021-05-24,17:49:34,+0000,1157332729995902976,sportbuzzbr,SportBuzz,,"@Corinthians anunciou neste domingo, 23, a contratação de #Sylvinho como novo treinador #Corinthians    https://t.co/vCnGj17lPm",pt,[],['https://sportbuzz.uol.com.br/noticias/futebol/sylvinho-e-esperado-no-brasil-nesta-semana-mas-estreia-pelo-corinthians-deve-acontecer-somente-no-domingo.phtml'],[],0,0,0,"['sylvinho', 'corinthians']",[],https://twitter.com/Sportbuzzbr/status/1396886103974678539,False,,0,,,,,,,,[],,,,
1396878301420007430,1396870296737615875,2021-05-24 17:18:34 UTC,2021-05-24,17:18:34,+0000,3406444570,_koya_gru_,SCCP,,"@povotime1910 @centraldotimao @Corinthians tem que endireitar a coluna do Cantillo, ela é inclinada, mas uma boa fisioterapia coloca a coluna dele no lugar.  #Corinthians",pt,[],[],[],0,0,0,['corinthians'],[],https://twitter.com/_koya_gru_/status/1396878301420007430,False,,0,,,,,,,,"[{'screen_name': 'povotime1910', 'name': 'Time Do Povo 1910', 'id': '1096591281239793664'}, {'screen_name': 'centraldotimao', 'name': 'Central do Timão', 'id': '1122614514913042434'}]",,,,
1396876850719338497,1396876850719338497,2021-05-24 17:12:48 UTC,2021-05-24,17:12:48,+0000,1385455035023253505,duplomazzo,DuploMazzo,,"Ai ai ai, nao tenho tanto tempo assim de vida pra fica me preocupando com coisas desnecessárias! Assim não neeh #Corinthians",pt,[],[],[],0,0,0,['corinthians'],[],https://twitter.com/DuploMazzo/status/1396876850719338497,False,,0,,,,,,,,[],,,,
1396873667729055748,1396873667729055748,2021-05-24 17:00:09 UTC,2021-05-24,17:00:09,+0000,1381302911431499781,ttgabryelle,ɢᴀʙʏ Ⓒ🖤,,"Oi sou nova por aqui, me segue que sigo de volta. #Corinthians",pt,[],[],[],0,2,6,['corinthians'],[],https://twitter.com/ttgabryelle/status/1396873667729055748,False,,0,,,,,,,,[],,,,
1396872699499143172,1396872699499143172,2021-05-24 16:56:18 UTC,2021-05-24,16:56:18,+0000,1269018703229784065,timaoanalise,Timão Análise,,"Sylvinho não fará a sua estreia nesta quarta-feira, diante do River Plate (PAR).  O novo técnico do Timão deve fazer o seu primeiro jogo pelo clube no domingo, contra o Atlético-GO, na 1ª rodada do Brasileirão 2021.  #Corinthians #TimãoAnálise  https://t.co/6dGubIho5H",pt,[],[],['https://pbs.twimg.com/media/E2KwUSwX0AExAKi.jpg'],0,1,0,"['corinthians', 'timãoanálise']",[],https://twitter.com/timaoanalise/status/1396872699499143172,False,,1,https://pbs.twimg.com/media/E2KwUSwX0AExAKi.jpg,,,,,,,[],,,,
1396871921980092419,1396871919069237251,2021-05-24 16:53:13 UTC,2021-05-24,16:53:13,+0000,1114746600482590720,dimensao_esp,Dimensão Esportiva,,#SãoPauloFc #Palmeiras #Corinthians #SantosFC #Flamengo #Fluminense #Grêmio #Internacional #AtléticoMG #AméricaMG #Paulistão #Carioca #Mineiro #Gauchão #Libertadores #CopaSulamericana  Fotos: Erico Leonan/SPFC Marcelo Cortes/Flamengo Pedro Souza/Atlético-MG Lucas Uebel/Grêmio,pt,[],[],[],0,0,0,"['sãopaulofc', 'palmeiras', 'corinthians', 'santosfc', 'flamengo', 'fluminense', 'grêmio', 'internacional', 'atléticomg', 'américamg', 'paulistão', 'carioca', 'mineiro', 'gauchão', 'libertadores', 'copasulamericana']",[],https://twitter.com/dimensao_esp/status/1396871921980092419,False,,0,,,,,,,,[],,,,
1396868787379523584,1396868787379523584,2021-05-24 16:40:46 UTC,2021-05-24,16:40:46,+0000,4454385083,bastidoressccp,Turco,,Alguém se deu bem nessa história todo envolvendo Renato Gaúcho e #Corinthians.   https://t.co/liVstRGts6,pt,[],['https://esporte.ig.com.br/futebol/2021-05-24/apos-polemica-com-o-corinthians--portaluppi-pode-estrear-em-programa-esportivo.html'],[],7,0,15,['corinthians'],[],https://twitter.com/bastidoressccp/status/1396868787379523584,False,,0,,,,,,,,[],,,,
1396864481565847559,1396864481565847559,2021-05-24 16:23:39 UTC,2021-05-24,16:23:39,+0000,1118882396076638210,millosdatos,@MillosDatos,,"#TalDiaComoHoy hace 3 años, en 2018, #Millonarios vencía 1-0 a #Corinthians 🇧🇷 en el estadio #NeoQuimicaArena con este GOLAZO de #Carrillo.   https://t.co/wC3WLBrUvt",es,[],['https://youtu.be/aKlB-FqtmpY'],[],0,1,10,"['taldiacomohoy', 'millonarios', 'corinthians', 'neoquimicaarena', 'carrillo']",[],https://twitter.com/MillosDatos/status/1396864481565847559,False,,0,,,,,,,,[],,,,
